[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 14:13:17,207][root][INFO] - Epoch [112/200] Train Accuracy: 81.07%, Val Accuracy: 75.00%, Train Loss: 0.4084, Val Loss: 0.5711
[2023-06-09 14:14:08,151][root][INFO] - Epoch [113/200] Train Accuracy: 83.60%, Val Accuracy: 80.68%, Train Loss: 0.4067, Val Loss: 0.4142
[2023-06-09 14:14:59,060][root][INFO] - Epoch [114/200] Train Accuracy: 83.98%, Val Accuracy: 80.68%, Train Loss: 0.3961, Val Loss: 0.4459
[2023-06-09 14:15:50,239][root][INFO] - Epoch [115/200] Train Accuracy: 81.95%, Val Accuracy: 79.55%, Train Loss: 0.4184, Val Loss: 0.4930
[2023-06-09 14:16:41,285][root][INFO] - Epoch [116/200] Train Accuracy: 84.87%, Val Accuracy: 80.68%, Train Loss: 0.4015, Val Loss: 0.3979
[2023-06-09 14:17:32,259][root][INFO] - Epoch [117/200] Train Accuracy: 85.00%, Val Accuracy: 86.36%, Train Loss: 0.3849, Val Loss: 0.3919
[2023-06-09 14:18:23,303][root][INFO] - Epoch [118/200] Train Accuracy: 85.25%, Val Accuracy: 72.73%, Train Loss: 0.4086, Val Loss: 0.5844
[2023-06-09 14:19:14,318][root][INFO] - Epoch [119/200] Train Accuracy: 84.36%, Val Accuracy: 84.09%, Train Loss: 0.4021, Val Loss: 0.4025
[2023-06-09 14:20:05,324][root][INFO] - Epoch [120/200] Train Accuracy: 86.13%, Val Accuracy: 82.95%, Train Loss: 0.3773, Val Loss: 0.4472
[2023-06-09 14:20:56,314][root][INFO] - Epoch [121/200] Train Accuracy: 86.91%, Val Accuracy: 81.82%, Train Loss: 0.3659, Val Loss: 0.4591
[2023-06-09 14:21:47,304][root][INFO] - Epoch [122/200] Train Accuracy: 86.40%, Val Accuracy: 82.95%, Train Loss: 0.3778, Val Loss: 0.4156
[2023-06-09 14:22:38,336][root][INFO] - Epoch [123/200] Train Accuracy: 85.76%, Val Accuracy: 79.55%, Train Loss: 0.3753, Val Loss: 0.5279
[2023-06-09 14:23:29,373][root][INFO] - Epoch [124/200] Train Accuracy: 84.87%, Val Accuracy: 80.68%, Train Loss: 0.3916, Val Loss: 0.4583
[2023-06-09 14:24:20,379][root][INFO] - Epoch [125/200] Train Accuracy: 86.66%, Val Accuracy: 84.09%, Train Loss: 0.3703, Val Loss: 0.4179
[2023-06-09 14:25:11,364][root][INFO] - Epoch [126/200] Train Accuracy: 85.63%, Val Accuracy: 84.09%, Train Loss: 0.3900, Val Loss: 0.3844
[2023-06-09 14:26:02,381][root][INFO] - Epoch [127/200] Train Accuracy: 87.54%, Val Accuracy: 84.09%, Train Loss: 0.3494, Val Loss: 0.4185
[2023-06-09 14:26:53,895][root][INFO] - Epoch [128/200] Train Accuracy: 86.02%, Val Accuracy: 84.09%, Train Loss: 0.3697, Val Loss: 0.3958
[2023-06-09 14:27:45,019][root][INFO] - Epoch [129/200] Train Accuracy: 87.92%, Val Accuracy: 86.36%, Train Loss: 0.3434, Val Loss: 0.4451
[2023-06-09 14:28:36,063][root][INFO] - Epoch [130/200] Train Accuracy: 84.49%, Val Accuracy: 85.23%, Train Loss: 0.3779, Val Loss: 0.3996
[2023-06-09 14:29:31,628][root][INFO] - Epoch [131/200] Train Accuracy: 85.25%, Val Accuracy: 85.23%, Train Loss: 0.3702, Val Loss: 0.4388
[2023-06-09 14:30:22,520][root][INFO] - Epoch [132/200] Train Accuracy: 86.52%, Val Accuracy: 82.95%, Train Loss: 0.3619, Val Loss: 0.4873
[2023-06-09 14:31:13,467][root][INFO] - Epoch [133/200] Train Accuracy: 86.02%, Val Accuracy: 85.23%, Train Loss: 0.3445, Val Loss: 0.4103
[2023-06-09 14:32:04,392][root][INFO] - Epoch [134/200] Train Accuracy: 87.66%, Val Accuracy: 71.59%, Train Loss: 0.3422, Val Loss: 0.7314
[2023-06-09 14:32:55,327][root][INFO] - Epoch [135/200] Train Accuracy: 88.43%, Val Accuracy: 84.09%, Train Loss: 0.3378, Val Loss: 0.4608
[2023-06-09 14:33:46,240][root][INFO] - Epoch [136/200] Train Accuracy: 89.95%, Val Accuracy: 85.23%, Train Loss: 0.3065, Val Loss: 0.4107
[2023-06-09 14:34:37,197][root][INFO] - Epoch [137/200] Train Accuracy: 87.17%, Val Accuracy: 82.95%, Train Loss: 0.3762, Val Loss: 0.4517
